Date	Target	AI	CMAQ
20210101	11.5	19.0	15.75
20210102	13.5	18.5	20.5
20210103	22.0	19.25	27.25
20210104	14.75	19.75	16.5
20210105	13.25	19.25	20.0
20210106	10.75	12.75	14.25
20210107	10.0	10.25	12.0
20210108	14.5	14.5	16.5
20210109	22.0	21.0	25.0
20210110	31.75	28.5	31.0
20210111	46.5	34.75	47.5
20210112	45.5	53.25	61.0
20210113	29.0	28.25	23.5
20210114	33.75	38.5	45.5
20210115	34.75	22.75	17.75
20210116	12.75	19.0	21.25
20210117	17.25	18.75	22.0
20210118	15.25	15.25	12.75
20210119	25.25	31.5	36.5
20210120	30.0	33.75	34.25
20210121	30.75	28.25	25.0
20210122	8.5	16.5	3.75
20210123	9.25	21.25	10.0
20210124	16.5	24.75	19.0
20210125	28.0	35.25	27.25
20210126	18.25	23.0	15.5
20210127	15.5	19.25	18.0
20210128	9.75	11.5	11.5
20210129	23.0	23.5	39.25
20210130	27.0	27.25	31.5
20210131	37.25	35.5	35.75
20210201	16.5	12.5	10.5
20210202	18.75	18.0	22.5
20210203	14.5	16.25	20.5
20210204	15.75	22.5	15.75
20210205	42.0	34.5	32.75
20210206	53.25	27.75	34.0
20210207	15.75	14.25	11.25
20210208	14.25	19.5	22.25
20210209	23.0	31.25	54.5
20210210	50.0	54.75	88.75
20210211	64.75	54.5	88.25
20210212	70.25	59.75	67.5
20210213	70.5	63.25	74.0
20210214	37.0	33.5	29.25
20210215	12.5	17.0	10.75
20210216	10.75	11.0	9.5
20210217	14.0	13.25	14.5
20210218	23.5	29.0	48.5
20210219	38.5	40.5	68.0
20210220	43.5	49.25	55.5
20210221	27.25	42.5	37.0
20210222	14.5	14.25	10.0
20210223	21.25	17.5	14.25
20210224	31.5	25.5	28.5
20210225	20.75	26.75	20.5
20210226	9.5	21.75	10.75
20210227	13.25	23.0	14.5
20210228	9.75	11.25	6.0
20210301	6.0	10.75	7.5
20210302	22.75	27.0	32.75
20210303	26.75	26.75	24.25
20210304	22.75	36.25	31.0
20210305	17.5	21.25	22.75
20210306	13.75	20.75	17.0
20210307	26.25	34.25	47.25
20210308	29.75	44.5	56.5
20210309	66.0	52.25	66.75
20210310	88.5	55.75	62.75
20210311	46.75	51.0	39.0
20210312	35.5	44.5	35.75
20210313	58.0	48.75	58.75
20210314	61.75	55.25	69.5
20210315	16.25	23.0	18.0
20210316	18.0	24.0	16.25
20210317	41.0	29.5	37.0
20210318	28.0	20.5	16.75
20210319	13.0	20.25	11.75
20210320	32.0	18.0	23.75
20210321	15.75	19.5	17.0
20210322	29.75	40.25	53.5
20210323	26.75	30.75	36.0
20210324	32.5	39.75	38.5
20210325	68.5	44.25	54.5
20210326	33.75	37.75	26.25
20210327	13.75	19.0	15.0
20210328	49.75	20.75	20.25
20210329	27.25	16.25	30.25
20210330	17.75	16.5	24.5
20210331	13.5	23.25	15.25
