Site	Time&Day	AI_ACC	Ratio	AI_POD	Ratio	AI_FAR	Ratio	AI_F1	N_ACC	Ratio	N_POD	Ratio	N_FAR	Ratio	N_F1
SU	T05	77.8	70//90	90.5	19//21	17.4	4//23	86.36	53.3	48//90	76.2	16//21	38.5	10//26	68.09
SU	T06	75.6	68//90	71.4	15//21	16.7	3//18	76.92	60.0	54//90	85.7	18//21	28.0	7//25	78.26
SU	T07	62.2	56//90	68.4	13//19	35.0	7//20	66.67	55.6	50//90	63.2	12//19	50.0	12//24	55.81
SU	T08	57.8	52//90	72.7	16//22	33.3	8//24	69.57	51.1	46//90	72.7	16//22	38.5	10//26	66.67
SU	T09	62.2	56//90	76.2	16//21	33.3	8//24	71.11	55.6	50//90	76.2	16//21	44.8	13//29	64.00
SU	T10	62.2	56//90	90.5	19//21	24.0	6//25	82.61	64.4	58//90	90.5	19//21	26.9	7//26	80.85
SU	T11	55.6	50//90	63.2	12//19	42.9	9//21	60.00	56.7	51//90	63.2	12//19	47.8	11//23	57.14
SU	T12	58.9	53//90	63.6	14//22	33.3	7//21	65.12	45.6	41//90	59.1	13//22	43.5	10//23	57.78
SU	T13	55.6	50//90	85.7	18//21	47.1	16//34	65.45	54.4	49//90	85.7	18//21	47.1	16//34	65.45
SU	T14	47.8	43//90	76.2	16//21	44.8	13//29	64.00	52.2	47//90	76.2	16//21	40.7	11//27	66.67
SU	T15	55.6	50//90	78.9	15//19	48.3	14//29	62.50	60.0	54//90	73.7	14//19	48.1	13//27	60.87
