Site	Time&Day	AVG_OBS	AVG_AI	AVG_N	AI_R	AI_IOA	AI_RMSE	N_R	N_IOA	N_RMSE
SU	T05	29.2	30.4	30.6	0.94	0.97	7.3	0.74	0.85	16.1
SU	T06	26.1	26.1	27.8	0.85	0.92	9.0	0.77	0.85	14.2
SU	T07	26.8	27.6	29.6	0.77	0.86	12.4	0.71	0.82	16.5
SU	T08	28.0	28.7	31.4	0.70	0.83	14.5	0.68	0.80	18.1
SU	T09	29.2	29.0	32.8	0.76	0.86	13.4	0.72	0.84	16.9
SU	T10	26.0	27.5	27.6	0.82	0.87	10.2	0.79	0.88	12.9
SU	T11	26.8	26.9	28.3	0.77	0.86	12.3	0.73	0.84	15.3
SU	T12	28.0	25.1	29.5	0.63	0.77	16.0	0.63	0.78	19.0
SU	T13	29.2	29.3	33.6	0.75	0.85	13.5	0.74	0.84	16.6
SU	T14	26.0	30.4	28.6	0.65	0.74	13.9	0.62	0.75	18.5
SU	T15	26.8	29.7	29.9	0.73	0.80	13.6	0.70	0.82	16.3
