Date	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	O_U	O_V	O_Pa	O_ta	O_td	O_RH	O_RN_ACC	O_radiation	O_PM2_5	O_O3	O_NO2	O_CO	O_SO2	O_PM10	Target
20190101	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.612529279601105	0.5099949980762906	0.9235854205834196	0.20999667470855554	0.2803972947924383	0.4949901823686643	0.0	0.0	0.23853211009174313	0.0228384991843393	0.5099601593625497	0.5090596688534833	0.21538461538461537	0.14068441064638781	0.24038461538461536
20190102	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4642857142857143	0.5460837484559374	0.4903759674677735	0.907615177795299	0.18569946936344275	0.24503753717427157	0.4529060308993864	0.0	0.0	0.13761467889908258	0.15660685154975532	0.3107569721115538	0.30076538581693224	0.24615384615384622	0.07604562737642584	0.2019230769230769
20190103	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714286	0.5799851837339174	0.4819454146050448	0.9227768006954142	0.20270753393113822	0.24565726345252675	0.4148294930543114	0.0	0.0	0.1743119266055046	0.06688417618270802	0.4077025232403718	0.37324273664479857	0.24615384615384622	0.10646387832699619	0.23076923076923075
20190104	0.6071428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3928571428571428	0.4294912198563303	0.4661322474648937	0.9126690520953373	0.2499134674338484	0.2642676621989303	0.36072129830809685	0.0	0.0	0.27522935779816515	0.0032626427406199287	0.7104913678618857	0.7807716338644174	0.43076923076923085	0.16730038022813684	0.34615384615384615
20190105	0.6428571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3571428571428571	0.5814841885599706	0.4011318715325986	0.7661066973942232	0.3092678994785326	0.417804010168722	0.6733464235084474	0.0	0.0	0.7339449541284404	0.22349102773246332	0.33731739707835323	0.548734770384255	0.43076923076923085	0.38022813688212925	0.3653846153846153
20190106	0.6785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3214285714285714	0.5153227672381819	0.4778178503867977	0.7873329694543835	0.22596343345090575	0.19044765453144602	0.23847765992879358	0.0	0.0	0.1743119266055046	0.08319738988580752	0.35590969455511284	0.32778819119025304	0.3230769230769231	0.17870722433460073	0.24038461538461536
20190107	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.5067873425051856	0.49497697402878404	0.8022924373824974	0.24852499024633298	0.2946658875113059	0.4448896012466528	0.0	0.0	0.2018348623853211	0.004893964110929873	0.6042496679946878	0.5374101843174007	0.33846153846153854	0.12547528517110265	0.3173076923076923
20190108	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5265203444172692	0.4506990772797988	0.7796510805183252	0.27976416500669304	0.24875961692355225	0.27054097373107266	0.0	0.0	0.1834862385321101	0.2446982055464927	0.2602921646746348	0.2590596688534833	0.3846153846153847	0.11026615969581748	0.1923076923076923
20190109	0.7857142857142858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2142857142857142	0.5030321517961773	0.40956553209744145	0.9009440637192474	0.18465816353809741	0.1343056646331705	0.19438910044525026	0.0	0.0	0.09174311926605505	0.2446982055464927	0.1301460823373174	0.14792252421118401	0.276923076923077	0.11406844106463876	0.15384615384615385
20190110	0.8214285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1785714285714286	0.6258200105866688	0.49838858797722546	0.7917803788384179	0.2620619659758224	0.17772930802815384	0.16232458423864357	0.0	0.0	0.25688073394495414	0.017944535073409467	0.4767596281540504	0.3919087785067166	0.3846153846153847	0.19011406844106463	0.3076923076923077
20190111	0.8571428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571428571428	0.46676925531486774	0.4858332571119381	0.7477105949420838	0.3582092107914138	0.468362322131114	0.7014033260908513	0.0	0.0	0.3761467889908257	0.0016313213703099845	0.5537848605577689	0.5677913152139956	0.4153846153846154	0.20532319391634982	0.4615384615384615
20190112	0.8928571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1071428571428572	0.44417189666798196	0.48133759093638173	0.6674550710574731	0.3769527781259794	0.4035361618658042	0.44889841727518337	0.0	0.0	0.6055045871559632	0.004893964110929873	0.6679946879150066	0.7457044673539519	0.44615384615384623	0.32699619771863114	0.673076923076923
20190113	0.9285714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714285714285714	0.5289666045573066	0.492530140843561	0.7254735480219144	0.3175983460812953	0.37779165286395433	0.5150306552983346	0.0	0.0	0.6238532110091742	0.052202283849918416	0.5551128818061088	0.734379881287098	0.33846153846153854	0.34600760456273766	0.721153846153846
20190114	0.9642857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357142857142857	0.4692318743048999	0.4930490199344755	0.7537752441021291	0.3276642329725785	0.4534740031339913	0.7434874775601292	0.0	0.0	0.9357798165137614	0.0228384991843393	0.6653386454183267	0.9162761636988441	0.2923076923076924	0.4828897338403042	1.0
20190115	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5884795444148859	0.4225026816741968	0.6860533284816138	0.3832006130780514	0.4866624855304151	0.6893792828139148	0.0	0.0	1.0	0.2544861337683524	0.42629482071713143	0.7532802249297093	0.4923076923076924	0.6539923954372624	1.0
20190116	0.9666666666666667	0.033333333333333326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5999196109418553	0.3307016970341026	0.7782359957143157	0.1797988057735408	0.22952949189889346	0.42084151469277964	0.0	0.0	0.14678899082568808	0.2544861337683524	0.09694555112881804	0.14862542955326463	0.18461538461538465	0.22813688212927755	0.15384615384615385
20190117	0.9333333333333333	0.06666666666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45464834903097234	0.5457455745484423	0.6937352174176721	0.2992018043260843	0.4283499648263464	0.7414830695458638	0.0	0.0	0.1743119266055046	0.024469820554649246	0.4289508632138113	0.29318962824117467	0.276923076923077	0.10266159695817488	0.2596153846153846
20190118	0.9	0.09999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5434584312435081	0.4872966633212582	0.7721713465542683	0.2835822169459043	0.23014921817714873	0.226453616651857	0.0	0.0	0.13761467889908258	0.07504078303425778	0.47410358565737043	0.3880818494220556	0.30769230769230765	0.0988593155893536	0.22115384615384615
20190119	0.8666666666666667	0.1333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38058883041782104	0.4575080526118133	0.7469019750540763	0.3536968786062119	0.42524816966728335	0.5691388500445491	0.0	0.0	0.6055045871559632	0.0032626427406199287	0.7516600265604247	0.8588722274289285	0.4923076923076924	0.34980988593155893	0.7115384615384616
20190120	0.8333333333333334	0.16666666666666663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6799611269877954	0.4629587477956782	0.597105140800938	0.3946549771568501	0.4838709257184545	0.6492983369545743	0.0	0.0	0.6697247706422018	0.25285481239804247	0.27888446215139445	0.4469696969696969	0.353846153846154	0.376425855513308	0.24038461538461536
20190121	0.8	0.19999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.513772794022349	0.49903584731409517	0.7270907877979251	0.2204097329620089	0.23046001183621367	0.3366732117542237	0.0	0.0	0.11009174311926606	0.1810766721044046	0.2775564409030544	0.22633552014995317	0.24615384615384622	0.09125475285171102	0.16346153846153846
20190122	0.7666666666666667	0.23333333333333328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5009732736754043	0.47301537899907936	0.6294499363211843	0.31308595141774376	0.4088090461426227	0.6272546584149665	0.0	0.0	0.2018348623853211	0.008156606851549762	0.5551128818061088	0.6201968134957826	0.2923076923076924	0.1977186311787072	0.3076923076923077
20190123	0.7333333333333333	0.2666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5495147668517837	0.5264882161687225	0.5916469565568968	0.3547381844315572	0.47363520640793255	0.7334666398931302	0.0	0.0	0.5045871559633028	0.009787928221859745	0.6108897742363878	0.7410184317400813	0.3846153846153847	0.29657794676806076	0.6826923076923077
20190124	0.7	0.30000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6029855042572055	0.5076911191883166	0.704853740877758	0.2978135353997339	0.2500009305199374	0.24448968156726186	0.0	0.0	0.1559633027522936	0.1402936378466558	0.3691899070385126	0.31849422055607624	0.30769230769230765	0.13688212927756652	0.21153846153846154
20190125	0.6666666666666666	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5861002776605416	0.44329331597973326	0.7145571795338298	0.3116974742302283	0.3083128929120436	0.35270607105969093	0.0	0.0	0.1559633027522936	0.04730831973898863	0.5312084993359893	0.4179162761636988	0.33846153846153854	0.10266159695817488	0.17307692307692307
20190126	0.6333333333333333	0.3666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5618758255049903	0.415523747185183	0.7553924838781421	0.24921912470950816	0.1643930962864811	0.15831697061444064	0.0	0.0	0.11926605504587157	0.3572593800978793	0.10491367861885789	0.14526710402999063	0.24615384615384622	0.1444866920152091	0.16346153846153846
20190127	0.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5783270417956698	0.5010285273420908	0.8196777649746299	0.24470693830712176	0.2754339014467725	0.4008022441674371	0.0	0.0	0.1743119266055046	0.07504078303425778	0.399734395750332	0.3515307716338644	0.26153846153846155	0.13688212927756652	0.23076923076923075
