Date	Target	AI
20210101	14.0	30.0
20210102	22.0	29.0
20210103	15.0	31.0
20210104	13.0	32.0
20210105	11.0	30.0
20210106	10.0	31.0
20210107	14.0	30.0
20210108	22.0	32.0
20210109	32.0	32.0
20210110	46.0	32.0
20210111	46.0	32.0
20210112	29.0	33.0
20210113	34.0	31.0
20210114	35.0	31.0
20210115	13.0	30.0
20210116	17.0	32.0
20210117	15.0	30.0
20210118	25.0	29.0
20210119	30.0	30.0
20210120	31.0	32.0
20210121	8.0	31.0
20210122	9.0	28.0
20210123	16.0	26.0
20210124	28.0	24.0
20210125	18.0	28.0
20210126	16.0	28.0
20210127	10.0	28.0
20210128	23.0	28.0
20210129	27.0	28.0
20210130	37.0	28.0
20210131	16.0	30.0
20210201	19.0	26.0
20210202	14.0	27.0
20210203	16.0	28.0
20210204	42.0	27.0
20210205	53.0	28.0
20210206	16.0	25.0
20210207	14.0	28.0
20210208	23.0	26.0
20210209	50.0	27.0
20210210	65.0	26.0
20210211	70.0	26.0
20210212	70.0	28.0
20210213	37.0	30.0
20210214	12.0	28.0
20210215	11.0	28.0
20210216	14.0	24.0
20210217	24.0	25.0
20210218	38.0	26.0
20210219	44.0	27.0
20210220	27.0	25.0
20210221	14.0	28.0
20210222	21.0	26.0
20210223	32.0	27.0
20210224	21.0	28.0
20210225	10.0	30.0
20210226	13.0	30.0
20210227	10.0	26.0
20210228	6.0	26.0
20210301	23.0	28.0
20210302	27.0	27.0
20210303	23.0	31.0
20210304	18.0	33.0
20210305	14.0	31.0
20210306	26.0	31.0
20210307	30.0	30.0
20210308	66.0	33.0
20210309	88.0	34.0
20210310	47.0	35.0
20210311	36.0	39.0
20210312	58.0	36.0
20210313	62.0	33.0
20210314	16.0	36.0
20210315	18.0	36.0
20210316	41.0	32.0
20210317	28.0	33.0
20210318	13.0	35.0
20210319	32.0	34.0
20210320	16.0	30.0
20210321	30.0	33.0
20210322	27.0	32.0
20210323	32.0	33.0
20210324	68.0	34.0
20210325	34.0	31.0
20210326	14.0	35.0
20210327	50.0	36.0
20210328	27.0	27.0
20210329	18.0	34.0
20210330	14.0	34.0
20210331	14.0	32.0
