Site	Time&Day	AI_ACC	Ratio	AI_HIT	Ratio	AI_POD	Ratio	AI_FAR	Ratio	AI_F1
SU	T05	81.1	73//90	76.2	16//21	85.7	18//21	14.3	3//21	0.86
SU	T06	58.9	53//90	47.6	10//21	52.4	11//21	31.2	5//16	0.59
SU	T07	46.7	42//90	36.8	7//19	52.6	10//19	50.0	10//20	0.51
SU	T08	46.7	42//90	22.7	5//22	27.3	6//22	53.8	7//13	0.34
SU	T09	52.2	47//90	33.3	7//21	38.1	8//21	42.9	6//14	0.46
SU	T10	41.1	37//90	14.3	3//21	14.3	3//21	40.0	2//5	0.23
SU	T11	44.4	40//90	15.8	3//19	15.8	3//19	62.5	5//8	0.22
SU	T12	44.4	40//90	9.1	2//22	9.1	2//22	66.7	4//6	0.14
SU	T13	51.1	46//90	23.8	5//21	33.3	7//21	41.7	5//12	0.42
SU	T14	41.1	37//90	4.8	1//21	4.8	1//21	0.0	0//1	0.09
SU	T15	48.9	44//90	10.5	2//19	10.5	2//19	0.0	0//2	0.19
