Date	Target	AI
20210101	18.0	19.0
20210102	12.0	14.0
20210103	14.0	14.0
20210104	23.0	21.0
20210105	11.0	19.0
20210106	14.0	14.0
20210107	10.0	12.0
20210108	10.0	12.0
20210109	15.0	15.0
20210110	23.0	20.0
20210111	34.0	24.0
20210112	49.0	41.0
20210113	45.0	55.0
20210114	28.0	27.0
20210115	36.0	30.0
20210116	30.0	32.0
20210117	13.0	18.0
20210118	19.0	16.0
20210119	18.0	16.0
20210120	26.0	33.0
20210121	31.0	27.0
20210122	32.0	37.0
20210123	6.0	14.0
20210124	11.0	17.0
20210125	17.0	26.0
20210126	29.0	37.0
20210127	14.0	23.0
20210128	15.0	15.0
20210129	10.0	13.0
20210130	26.0	20.0
20210131	26.0	31.0
20210201	43.0	29.0
20210202	16.0	14.0
20210203	20.0	22.0
20210204	11.0	23.0
20210205	16.0	32.0
20210206	52.0	37.0
20210207	44.0	42.0
20210208	13.0	15.0
20210209	14.0	24.0
20210210	25.0	40.0
20210211	55.0	49.0
20210212	65.0	63.0
20210213	69.0	65.0
20210214	74.0	51.0
20210215	20.0	43.0
20210216	12.0	13.0
20210217	11.0	11.0
20210218	14.0	16.0
20210219	25.0	27.0
20210220	41.0	44.0
20210221	40.0	47.0
20210222	28.0	27.0
20210223	15.0	13.0
20210224	22.0	19.0
20210225	34.0	29.0
20210226	16.0	29.0
20210227	9.0	14.0
20210228	14.0	17.0
20210301	6.0	11.0
20210302	7.0	16.0
20210303	25.0	28.0
20210304	25.0	31.0
20210305	23.0	31.0
20210306	16.0	15.0
20210307	16.0	17.0
20210308	27.0	30.0
20210309	32.0	33.0
20210310	72.0	51.0
20210311	85.0	75.0
20210312	43.0	44.0
20210313	38.0	28.0
20210314	59.0	52.0
20210315	59.0	53.0
20210316	15.0	22.0
20210317	19.0	20.0
20210318	48.0	26.0
20210319	22.0	31.0
20210320	14.0	15.0
20210321	28.0	34.0
20210322	15.0	26.0
20210323	31.0	28.0
20210324	23.0	36.0
20210325	39.0	33.0
20210326	69.0	65.0
20210327	27.0	27.0
20210328	16.0	16.0
20210329	45.0	32.0
20210330	21.0	25.0
20210331	18.0	26.0
