Site	Time&Day	AI_ACC	Ratio	AI_HIT	Ratio	AI_POD	Ratio	AI_FAR	Ratio	AI_F1
SU	T05	75.6	68//90	81.0	17//21	90.5	19//21	17.4	4//23	0.86
SU	T06	74.4	67//90	71.4	15//21	76.2	16//21	15.8	3//19	0.80
SU	T07	57.8	52//90	57.9	11//19	73.7	14//19	44.0	11//25	0.64
SU	T08	53.3	48//90	54.5	12//22	59.1	13//22	48.0	12//25	0.55
SU	T09	54.4	49//90	61.9	13//21	71.4	15//21	40.0	10//25	0.65
SU	T10	50.0	45//90	38.1	8//21	42.9	9//21	47.1	8//17	0.47
SU	T11	48.9	44//90	57.9	11//19	68.4	13//19	56.7	17//30	0.53
SU	T12	54.4	49//90	54.5	12//22	59.1	13//22	45.8	11//24	0.57
SU	T13	52.2	47//90	66.7	14//21	76.2	16//21	56.8	21//37	0.55
SU	T14	44.4	40//90	71.4	15//21	76.2	16//21	56.8	21//37	0.55
SU	T15	54.4	49//90	68.4	13//19	84.2	16//19	51.5	17//33	0.62
