Site	Time&Day	AVG_OBS	AVG_AI	AVG_N	AI_R	AI_IOA	AI_RMSE	AI_MSE	AI_MB	AI_NMB	|AI_NFB|<65	AI_NFE<65
SU	T05	29.2	29.6	0.91	0.95	8.6	73.3	0.39	1.33	6.3	23.8
SU	T06	26.1	26.5	0.83	0.90	9.5	90.5	0.41	1.58	8.8	30.0
SU	T07	26.8	28.7	0.74	0.83	13.1	172.1	1.86	6.92	14.8	34.4
SU	T08	28.0	27.6	0.60	0.74	16.2	261.0	-0.37	-1.31	7.5	39.8
SU	T09	29.2	28.6	0.66	0.77	15.6	242.6	-0.59	-2.02	6.1	38.6
SU	T10	26.0	27.4	0.57	0.69	14.2	201.0	1.39	5.34	17.1	42.5
SU	T11	26.8	29.9	0.57	0.66	16.3	264.9	3.17	11.83	24.4	43.4
SU	T12	28.0	27.1	0.49	0.62	17.6	310.4	-0.87	-3.10	8.4	44.8
SU	T13	29.2	32.0	0.55	0.70	17.6	309.3	2.81	9.63	18.3	42.1
SU	T14	26.0	32.4	0.45	0.62	17.0	289.3	6.43	24.73	33.2	49.7
SU	T15	26.8	31.4	0.57	0.68	16.5	272.2	4.51	16.80	27.6	43.6
