Date	Time	O_U	O_V	O_Pa	O_ta	O_td	O_RH	O_RN_ACC	O_radiation	O_PM2_5	O_O3	O_NO2	O_CO	O_SO2	O_PM10
20160101	1	-0.778931348	-1.709590813	1020.25	1.1	-1.8	83.66666667	0	27.5	30	0.006	0.0339	0.75	0.0055	43
20160101	2	-1.008625183	-1.113003686	1020.75	2.283333333	-3.3	66.33333333	0	38.83333333	46	0.017	0.0326	0.728	0.007	64
20160101	3	-0.676672591	-0.584462389	1022.25	-0.733333333	-3.35	82.5	0	0	61	0.0033	0.058	1.126	0.0064	91
20160101	4	-1.414235997	-0.174973045	1022.15	-2.516666667	-4.05	88.5	0	0	56	0.0023	0.0545	1.3187	0.0056	84
20160101	5	-1.526153392	0.408557036	1021.95	-0.5	-3.75	78	0	40	53	0.0031	0.05	1.2113	0.0055	81
20160101	6	1.617490854	0.451893034	1018.75	3.866666667	-3	59.33333333	0	36.83333333	37	0.0112	0.0404	0.656	0.0062	57
20160101	7	0.771546282	0.621499327	1016.85	3.85	-1.7	66	0	0	30	0.0068	0.0441	0.6433	0.0057	47
20160101	8	-1.180466015	0.167343032	1014.55	2.916666667	-1.2	74.5	0	0	26	0.0097	0.0371	0.5987	0.0054	41
20160101	9	-1.711549177	-0.501629544	1013.15	3.316666667	-0.35	75.33333333	0	28.66666667	29	0.0054	0.0453	0.7467	0.0056	44
20160101	10	1.083111327	-1.699996474	1010.3	8.866666667	4.3	69.16666667	0	46.33333333	33	0.0179	0.0377	0.6213	0.0062	57
20160101	11	1.071312683	-1.276740739	1009.85	7.8	5.25	85	0	0	38	0.0061	0.0541	0.8347	0.0055	64
20160101	12	0.734480547	-1.167968718	1008.95	6.35	4.95	91.66666667	0	0	37	0.0052	0.0456	0.9313	0.0053	63
20160101	13	0.539481926	-0.386341213	1009.5	6.216666667	3.7	86.16666667	0	28.66666667	44	0.0069	0.0476	1.0247	0.0059	77
20160101	14	1.351997991	-1.719519167	1007.95	8.3	2.65	68	0	52.16666667	68	0.027	0.0455	0.77	0.0095	109
20160101	15	1.241722818	-2.144938737	1009.1	6.05	2.2	78.33333333	0	0	85	0.0161	0.0567	0.9547	0.0072	134
20160102	1	-1.526153392	0.408557036	1021.95	-0.5	-3.75	78	0	40	53	0.0031	0.05	1.2113	0.0055	81
20160102	2	1.617490854	0.451893034	1018.75	3.866666667	-3	59.33333333	0	36.83333333	37	0.0112	0.0404	0.656	0.0062	57
20160102	3	0.771546282	0.621499327	1016.85	3.85	-1.7	66	0	0	30	0.0068	0.0441	0.6433	0.0057	47
20160102	4	-1.180466015	0.167343032	1014.55	2.916666667	-1.2	74.5	0	0	26	0.0097	0.0371	0.5987	0.0054	41
20160102	5	-1.711549177	-0.501629544	1013.15	3.316666667	-0.35	75.33333333	0	28.66666667	29	0.0054	0.0453	0.7467	0.0056	44
20160102	6	1.083111327	-1.699996474	1010.3	8.866666667	4.3	69.16666667	0	46.33333333	33	0.0179	0.0377	0.6213	0.0062	57
20160102	7	1.071312683	-1.276740739	1009.85	7.8	5.25	85	0	0	38	0.0061	0.0541	0.8347	0.0055	64
20160102	8	0.734480547	-1.167968718	1008.95	6.35	4.95	91.66666667	0	0	37	0.0052	0.0456	0.9313	0.0053	63
20160102	9	0.539481926	-0.386341213	1009.5	6.216666667	3.7	86.16666667	0	28.66666667	44	0.0069	0.0476	1.0247	0.0059	77
20160102	10	1.351997991	-1.719519167	1007.95	8.3	2.65	68	0	52.16666667	68	0.027	0.0455	0.77	0.0095	109
20160102	11	1.241722818	-2.144938737	1009.1	6.05	2.2	78.33333333	0	0	85	0.0161	0.0567	0.9547	0.0072	134
20160102	12	1.880594644	-1.517186179	1010.6	4.133333333	0.65	79.33333333	0	0	96	0.0372	0.0229	0.8733	0.0072	157
20160102	13	-0.694426255	-2.26059486	1013.55	2.333333333	-5.95	60.33333333	0	59.5	61	0.0189	0.0299	0.7407	0.0067	99
20160102	14	1.208558591	-2.985640559	1013	3.866666667	-10.25	35	0	91	17	0.026	0.0215	0.4113	0.0051	30
20160102	15	0.084929862	-2.830308034	1015.4	-0.883333333	-11.55	45.33333333	0	0	14	0.0177	0.0267	0.422	0.005	24
20160103	1	-1.711549177	-0.501629544	1013.15	3.316666667	-0.35	75.33333333	0	28.66666667	29	0.0054	0.0453	0.7467	0.0056	44
20160103	2	1.083111327	-1.699996474	1010.3	8.866666667	4.3	69.16666667	0	46.33333333	33	0.0179	0.0377	0.6213	0.0062	57
20160103	3	1.071312683	-1.276740739	1009.85	7.8	5.25	85	0	0	38	0.0061	0.0541	0.8347	0.0055	64
20160103	4	0.734480547	-1.167968718	1008.95	6.35	4.95	91.66666667	0	0	37	0.0052	0.0456	0.9313	0.0053	63
20160103	5	0.539481926	-0.386341213	1009.5	6.216666667	3.7	86.16666667	0	28.66666667	44	0.0069	0.0476	1.0247	0.0059	77
20160103	6	1.351997991	-1.719519167	1007.95	8.3	2.65	68	0	52.16666667	68	0.027	0.0455	0.77	0.0095	109
20160103	7	1.241722818	-2.144938737	1009.1	6.05	2.2	78.33333333	0	0	85	0.0161	0.0567	0.9547	0.0072	134
20160103	8	1.880594644	-1.517186179	1010.6	4.133333333	0.65	79.33333333	0	0	96	0.0372	0.0229	0.8733	0.0072	157
20160103	9	-0.694426255	-2.26059486	1013.55	2.333333333	-5.95	60.33333333	0	59.5	61	0.0189	0.0299	0.7407	0.0067	99
20160103	10	1.208558591	-2.985640559	1013	3.866666667	-10.25	35	0	91	17	0.026	0.0215	0.4113	0.0051	30
20160103	11	0.084929862	-2.830308034	1015.4	-0.883333333	-11.55	45.33333333	0	0	14	0.0177	0.0267	0.422	0.005	24
20160103	12	-1.408761445	-1.783875204	1015.8	-3.5	-11.75	52.66666667	0	0	14	0.0221	0.0148	0.3781	0.0053	23
20160103	13	-2.01110077	-1.651022525	1017.75	-3.316666667	-18.4	34.16666667	0	48.16666667	13	0.0129	0.0258	0.4	0.0055	25
20160103	14	-1.028026494	-2.652214909	1016.4	0.2	-16.45	26.5	0	88.83333333	17	0.021	0.0212	0.3867	0.0059	35
20160103	15	-0.416557676	-1.080277185	1017.5	-3.216666667	-13.55	43.33333333	0	0	22	0.0101	0.0367	0.5127	0.0063	42
20160104	1	0.539481926	-0.386341213	1009.5	6.216666667	3.7	86.16666667	0	28.66666667	44	0.0069	0.0476	1.0247	0.0059	77
20160104	2	1.351997991	-1.719519167	1007.95	8.3	2.65	68	0	52.16666667	68	0.027	0.0455	0.77	0.0095	109
20160104	3	1.241722818	-2.144938737	1009.1	6.05	2.2	78.33333333	0	0	85	0.0161	0.0567	0.9547	0.0072	134
20160104	4	1.880594644	-1.517186179	1010.6	4.133333333	0.65	79.33333333	0	0	96	0.0372	0.0229	0.8733	0.0072	157
20160104	5	-0.694426255	-2.26059486	1013.55	2.333333333	-5.95	60.33333333	0	59.5	61	0.0189	0.0299	0.7407	0.0067	99
20160104	6	1.208558591	-2.985640559	1013	3.866666667	-10.25	35	0	91	17	0.026	0.0215	0.4113	0.0051	30
20160104	7	0.084929862	-2.830308034	1015.4	-0.883333333	-11.55	45.33333333	0	0	14	0.0177	0.0267	0.422	0.005	24
20160104	8	-1.408761445	-1.783875204	1015.8	-3.5	-11.75	52.66666667	0	0	14	0.0221	0.0148	0.3781	0.0053	23
20160104	9	-2.01110077	-1.651022525	1017.75	-3.316666667	-18.4	34.16666667	0	48.16666667	13	0.0129	0.0258	0.4	0.0055	25
20160104	10	-1.028026494	-2.652214909	1016.4	0.2	-16.45	26.5	0	88.83333333	17	0.021	0.0212	0.3867	0.0059	35
20160104	11	-0.416557676	-1.080277185	1017.5	-3.216666667	-13.55	43.33333333	0	0	22	0.0101	0.0367	0.5127	0.0063	42
20160104	12	-1.465779398	-0.246438863	1016.05	-4.383333333	-12.75	52.5	0	0	24	0.0065	0.039	0.602	0.0062	41
20160104	13	-0.560670805	-0.438871453	1015.9	-1.333333333	-9.55	49.33333333	0	39.33333333	29	0.0041	0.0489	0.7654	0.0072	54
20160104	14	1.468473528	-2.18459786	1012.9	1.1	-7.25	53	0	38.83333333	34	0.0076	0.0431	0.6444	0.0078	66
20160104	15	-0.996358176	-2.09104494	1013.9	-1.666666667	-8.75	60.66666667	0	0	32	0.012	0.0322	0.6373	0.0059	61
20160105	1	-0.694426255	-2.26059486	1013.55	2.333333333	-5.95	60.33333333	0	59.5	61	0.0189	0.0299	0.7407	0.0067	99
20160105	2	1.208558591	-2.985640559	1013	3.866666667	-10.25	35	0	91	17	0.026	0.0215	0.4113	0.0051	30
20160105	3	0.084929862	-2.830308034	1015.4	-0.883333333	-11.55	45.33333333	0	0	14	0.0177	0.0267	0.422	0.005	24
20160105	4	-1.408761445	-1.783875204	1015.8	-3.5	-11.75	52.66666667	0	0	14	0.0221	0.0148	0.3781	0.0053	23
20160105	5	-2.01110077	-1.651022525	1017.75	-3.316666667	-18.4	34.16666667	0	48.16666667	13	0.0129	0.0258	0.4	0.0055	25
20160105	6	-1.028026494	-2.652214909	1016.4	0.2	-16.45	26.5	0	88.83333333	17	0.021	0.0212	0.3867	0.0059	35
20160105	7	-0.416557676	-1.080277185	1017.5	-3.216666667	-13.55	43.33333333	0	0	22	0.0101	0.0367	0.5127	0.0063	42
20160105	8	-1.465779398	-0.246438863	1016.05	-4.383333333	-12.75	52.5	0	0	24	0.0065	0.039	0.602	0.0062	41
20160105	9	-0.560670805	-0.438871453	1015.9	-1.333333333	-9.55	49.33333333	0	39.33333333	29	0.0041	0.0489	0.7654	0.0072	54
20160105	10	1.468473528	-2.18459786	1012.9	1.1	-7.25	53	0	38.83333333	34	0.0076	0.0431	0.6444	0.0078	66
20160105	11	-0.996358176	-2.09104494	1013.9	-1.666666667	-8.75	60.66666667	0	0	32	0.012	0.0322	0.6373	0.0059	61
